SwallowID,Original_City,Normalized_City
7886,Montréal,Montreal
,Montréal,Montreal
7955,Montréal,Montreal
,Montréal,Montreal
7956,Montréal,Montreal
,Montréal,Montreal
7961,Montréal,Montreal
,Montréal,Montreal
7963,Montréal,Montreal
,Montréal,Montreal
7964,Montréal,Montreal
,Montréal,Montreal
7965,Montréal,Montreal
,Montréal,Montreal
7966,Montréal,Montreal
,Montréal,Montreal
8165,Montréal,Montreal
,Montréal,Montreal
8166,Montréal,Montreal
,Montréal,Montreal
8167,Montréal,Montreal
,Montréal,Montreal
8168,Montréal,Montreal
,Montréal,Montreal
8169,Montréal,Montreal
,Montréal,Montreal
8170,Montréal,Montreal
,Montréal,Montreal
8172,Montréal,Montreal
,Montréal,Montreal
8175,Montréal,Montreal
,Montréal,Montreal
8176,Montréal,Montreal
,Montréal,Montreal
8177,Montréal,Montreal
,Montréal,Montreal
8178,Montréal,Montreal
,Montréal,Montreal
8179,Montréal,Montreal
,Montréal,Montreal
8180,Montréal,Montreal
,Montréal,Montreal
8181,Montréal,Montreal
,Montréal,Montreal
8183,Montréal,Montreal
,Montréal,Montreal
8184,Montréal,Montreal
,Montréal,Montreal
8185,Montréal,Montreal
,Montréal,Montreal
8186,Montréal,Montreal
,Montréal,Montreal
8187,Montréal,Montreal
,Montréal,Montreal
8188,Montréal,Montreal
,Montréal,Montreal
8189,Montréal,Montreal
,Montréal,Montreal
8190,Montréal,Montreal
,Montréal,Montreal
8250,Montréal,Montreal
,Montréal,Montreal
8252,Montréal,Montreal
,Montréal,Montreal
8253,Montréal,Montreal
,Montréal,Montreal
8254,Montréal,Montreal
,Montréal,Montreal
8255,Montréal,Montreal
,Montréal,Montreal
8256,Montréal,Montreal
,Montréal,Montreal
8257,Montréal,Montreal
,Montréal,Montreal
8274,Montréal,Montreal
,Montréal,Montreal
8275,Montréal,Montreal
,Montréal,Montreal
8277,Montréal,Montreal
,Montréal,Montreal
8278,Montréal,Montreal
,Montréal,Montreal
8286,Montréal,Montreal
,Montréal,Montreal
8287,Montréal,Montreal
,Montréal,Montreal
8288,Montréal,Montreal
,Montréal,Montreal
8289,Montréal,Montreal
,Montréal,Montreal
8290,Montréal,Montreal
,Montréal,Montreal
8291,Montréal,Montreal
,Montréal,Montreal
8292,Montréal,Montreal
,Montréal,Montreal
8293,Montréal,Montreal
,Montréal,Montreal
8294,Montréal,Montreal
,Montréal,Montreal
8295,Montréal,Montreal
,Montréal,Montreal
8296,Montréal,Montreal
,Montréal,Montreal
8297,Montréal,Montreal
,Montréal,Montreal
8479,Montréal,Montreal
,Montréal,Montreal
8483,Montréal,Montreal
,Montréal,Montreal
8486,Montréal,Montreal
,Montréal,Montreal
8491,Montréal,Montreal
,Montréal,Montreal
8493,Montréal,Montreal
,Montréal,Montreal
8494,Montréal,Montreal
,Montréal,Montreal
8495,Montréal,Montreal
,Montréal,Montreal
8496,Montréal,Montreal
,Montréal,Montreal
8606,Montréal,Montreal
,Montréal,Montreal
8607,Montréal,Montreal
,Montréal,Montreal
8911,Montréal,Montreal
,Montréal,Montreal
8917,Montréal,Montreal
,Montréal,Montreal
8918,Montréal,Montreal
,Montréal,Montreal
8919,Montréal,Montreal
,Montréal,Montreal
8921,Montréal,Montreal
,Montréal,Montreal
8923,Montréal,Montreal
,Montréal,Montreal
8951,Montréal,Montreal
,Montréal,Montreal
8952,Montréal,Montreal
,Montréal,Montreal
8953,Montréal,Montreal
,Montréal,Montreal
8954,Montréal,Montreal
,Montréal,Montreal
9339,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9340,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9341,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9342,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9343,Guelph/Eramosa,Guelph
9344,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9371,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9372,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9373,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9374,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9375,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9376,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9377,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9378,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9379,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9406,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9407,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9412,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9413,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9414,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9416,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9417,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9418,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9419,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9420,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9421,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9436,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9438,Guelph/Eramosa,Guelph
,Guelph/Eramosa,Guelph
9446,Guelph/Eramosa,Guelph
