SwallowID,Location
"('8213', '{""id"": ""60e77543783586.84033399"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8215', '{""id"": ""60e7d32e395fe7.11127305"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8216', '{""id"": ""60e7d5c4a245d5.38272666"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8217', '{""id"": ""60e7d830147aa4.31935841"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8219', '{""id"": ""60e7deb38b07b3.93319154"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8220', '{""id"": ""60e8e59a92f661.55951648"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8221', '{""id"": ""60e8ea92dc20f3.42729530"", ""url"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""notes"": ""\\""Online platform\\"": \\""Instagram\\"""", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
"('8829', '{""id"": ""61568738b81174.08464233"", ""url"": ""https://www.openstreetmap.org/#map=10/42.3173/-83.0353"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual location"", ""address"": ""Windsor, ON"", ""latitude"": ""42.3170990"", ""longitude"": ""-83.0353434"", ""city"": ""Windsor""}', 'latlon')"
"('8830', '{""id"": ""61568ab234df20.38711238"", ""url"": ""https://www.openstreetmap.org/#map=10/42.3173/-83.0353"", ""notes"": ""\\""Online platform\\"": \\""Zoom\\"""", ""venue"": ""Virtual location"", ""address"": ""Windsor, ON"", ""latitude"": ""42.3170990"", ""longitude"": ""-83.0353434"", ""city"": ""Windsor""}', 'latlon')"
"('11184', '{""id"": ""633dd78770ad89.81877837"", ""url"": ""https://www.openstreetmap.org/?mlat=49.03491&mlon=-122.33607#map=19/49.03491/-122.33607"", ""notes"": """", ""venue"": ""Mennonite Heritage Museum"", ""address"": ""1818 Clearbrook Road, Abbotsford, BC, Canada, V2T 5X4"", ""latitude"": ""49.03491"", ""longitude"": ""-122.33607"", ""city"": ""Sumas""}', 'latlon')"
"('11192', '{""id"": ""633de9ae8af2b1.47300444"", ""url"": ""https://www.openstreetmap.org/?mlat=49.03491&mlon=-122.33607#map=19/49.03491/-122.33607"", ""notes"": """", ""venue"": ""Mennonite Heritage Museum"", ""address"": ""1818 Clearbrook Road, Abbotsford, BC, Canada, V2T 5X4"", ""latitude"": ""49.03491"", ""longitude"": ""-122.33607"", ""city"": ""Sumas""}', 'latlon')"
"('11193', '{""id"": ""633dee769361c2.28538569"", ""url"": ""https://www.openstreetmap.org/?mlat=49.016&mlon=-96.773#map=8/49.016/-96.773"", ""notes"": """", ""venue"": ""Weston Family Tall Grass Prairie Interpretative Centre"", ""address"": "" 32087 Rd 10N, Stuartburn, MB, Canada, R0A 2B0"", ""latitude"": ""49.016"", ""longitude"": ""-96.773"", ""city"": ""Hallock""}', 'latlon')"
"('11526', '{""id"": ""638e38f1ede977.84401252"", ""url"": ""\\""Online platform\\"": \\""Zoom\\"""", ""notes"": ""https://www.openstreetmap.org/?mlat=42.32517&mlon=-82.94283#map=19/42.32517/-82.94283"", ""venue"": ""Virtual Location"", ""address"": ""1171 Eastlawn Ave. Windsor, ON. N8S 3J1"", ""latitude"": ""42.325140"", ""longitude"": ""-82.943060"", ""city"": ""Windsor""}', 'latlon')"
