SwallowID,Location
8342,"{""id"": ""60f878a678b942.20465834"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location "", ""address"": """", ""latitude"": """", ""longitude"": """"}"
8343,"{""id"": ""60f87b5506dcb1.28110138"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
8344,"{""id"": ""60f87d984bdeb5.40246243"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
8865,"{""id"": ""615f39c491a3b1.99134604"", ""url"": ""https://www.openstreetmap.org/?mlat=48.37159&mlon=-89.27975#map=18/48.37159/-89.27975"", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": ""48.37159"", ""longitude"": ""-89.27975"", ""city"": ""Thunder Bay""}"
9479,"{""id"": ""63698e33f0f423.66788118"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9841,"{""id"": ""6269a25d4608f5.22563219"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9843,"{""id"": ""6269ab2f4eaba5.87025914"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9845,"{""id"": ""6269ad99464004.15203377"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9849,"{""id"": ""6269b26d7f35e3.87770659"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9852,"{""id"": ""6269b652225086.20929200"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9855,"{""id"": ""6269b7c4232532.46937347"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9858,"{""id"": ""6269be7bc18d52.32194785"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9859,"{""id"": ""6269c670b04c50.78037376"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9863,"{""id"": ""6269c9306f5687.34091962"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9866,"{""id"": ""6269cc6976df57.40042312"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9869,"{""id"": ""627820ffd05a91.76379920"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9891,"{""id"": ""626b55c73419a6.09612652"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook Live\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9892,"{""id"": ""626b5719b0a6e6.13579834"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Facebook Live\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9960,"{""id"": ""6271954c77ec00.13711164"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9962,"{""id"": ""627197805fcbf6.57431516"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9966,"{""id"": ""6272a68ca6bf96.78528279"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9967,"{""id"": ""6272a7ae0a4a64.51570994"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\""\n"", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9968,"{""id"": ""6272a89643d9f4.32903294"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9969,"{""id"": ""6272a9ae9ba591.74055479"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9970,"{""id"": ""6272aaadccc036.37411558"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9971,"{""id"": ""6272ac0fa76734.79156555"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9972,"{""id"": ""6272ad07c40ec2.98413173"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9973,"{""id"": ""6272ae0d843840.53925436"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
9974,"{""id"": ""6272aefc261415.57085585"", ""url"": """", ""notes"": ""\""Online Platform\"": \""Zoom\"""", ""venue"": ""Virtual Location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10010,"{""id"": ""62782b4f3c0ba9.77088657"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10012,"{""id"": ""62782ede5718f3.86404863"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10013,"{""id"": ""627830aa67e4c5.35303204"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10014,"{""id"": ""627832b90610a1.14699454"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10015,"{""id"": ""62783640de8b72.06471977"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10016,"{""id"": ""62783a05334880.84919190"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
10017,"{""id"": ""62783c074bb4a6.31919951"", ""url"": """", ""notes"": ""\""Online platform\"": \""Zoom\"""", ""venue"": ""Virtual location"", ""address"": """", ""latitude"": """", ""longitude"": """"}"
