SwallowID,EventTitle,RawName
8237,VerseFest 2020: Writers Festival Showcase,
8241,VerseFest 2020: Canthius,
10831,Book Launch,
12373,"Reading with Royalty | Supported by ATB - August 31, 2020",
12381,"Reading with Royalty | Supported by ATB - September 5, 2020",
12426,Panel Discussion: Making Comics in a Dangerous Time - EMLF 2021,
12437,"Virtual Reading with Royalty | Supported by ATB - December 5, 2020",
12438,"Virtual Reading with Royalty | Supported by ATB - December 19, 2020",
12439,"Virtual Reading with Royalty | Supported by ATB - January 20, 2021",
12440,"Virtual Reading with Royalty | Supported by ATB - March 4, 2021",
12442,"Virtual Reading with Royalty | Supported by ATB - March 27, 2021",
12445,"Virtual Reading with Royalty | Supported by ATB - April 6, 2021",
12446,"Virtual Reading with Royalty | Supported by ATB - April 16, 2021",
12448,"Virtual Reading with Royalty | Supported by ATB - April 24, 2021",
12450,"Virtual Reading with Royalty | Supported by ATB - May 15, 2021",
12452,"Virtual Reading with Royalty | Supported by ATB - May 26, 2021",
12453,"Virtual Reading with Royalty | Supported by ATB - June 5, 2021",
12493,"Virtual Reading with Royalty | Supported by ATB - June 11, 2021",
12533,"Virtual Reading with Royalty | Supported by ATB - June 19, 2021",
12534,"Reading with Royalty | Supported by ATB - July 12, 2021",
12536,"Virtual Reading with Royalty | Supported by ATB - June 24, 2021",
12537,"Virtual Reading with Royalty | Supported by ATB - July 3, 2021",
12540,"Reading with Royalty | Supported by ATB - July 24, 2021",
12541,"Reading with Royalty | Supported by ATB - July 30, 2021",
12542,"Reading with Royalty | Supported by ATB - August 6, 2021",
12543,"Reading with Royalty | Supported by ATB - August 14, 2021",
12544,"Reading with Royalty | Supported by ATB - August 19, 2021",
12545,Reading with Royalty | PRIDE WEEK SPECIAL,
12547,"Virtual Reading with Royalty | Supported by ATB - September 18, 2021",
12548,"Virtual Reading with Royalty | Supported by ATB - September 28, 2021",
12549,"Virtual Reading with Royalty | Supported by ATB - October 6, 2021",
12550,"Virtual Reading with Royalty | Supported by ATB - October 28, 2021",
12551,"Virtual Reading with Royalty | Supported by ATB - October 16, 2021",
12583,"Reading with Royalty | Supported by ATB - August 31, 2020",
12584,"Reading with Royalty | Supported by ATB - September 5, 2020",
12585,"Virtual Reading with Royalty | Supported by ATB - December 5, 2020",
12586,"Virtual Reading with Royalty | Supported by ATB - December 19, 2020",
12587,"Virtual Reading with Royalty | Supported by ATB - January 20, 2021",
12588,"Virtual Reading with Royalty | Supported by ATB - March 4, 2021",
12589,"Virtual Reading with Royalty | Supported by ATB - March 27, 2021",
12590,"Virtual Reading with Royalty | Supported by ATB - April 6, 2021",
12591,"Virtual Reading with Royalty | Supported by ATB - April 16, 2021",
12592,"Virtual Reading with Royalty | Supported by ATB - April 24, 2021",
12593,"Virtual Reading with Royalty | Supported by ATB - May 15, 2021",
12594,"Virtual Reading with Royalty | Supported by ATB - May 26, 2021",
12595,"Virtual Reading with Royalty | Supported by ATB - June 5, 2021",
12596,"Virtual Reading with Royalty | Supported by ATB - June 11, 2021",
12597,"Virtual Reading with Royalty | Supported by ATB - June 19, 2021",
12598,"Reading with Royalty | Supported by ATB - July 12, 2021",
12599,"Virtual Reading with Royalty | Supported by ATB - June 24, 2021",
12600,"Virtual Reading with Royalty | Supported by ATB - July 3, 2021",
12601,"Reading with Royalty | Supported by ATB - July 24, 2021",
12602,"Reading with Royalty | Supported by ATB - July 30, 2021",
12603,"Reading with Royalty | Supported by ATB - August 6, 2021",
12604,"Reading with Royalty | Supported by ATB - August 14, 2021",
12605,"Reading with Royalty | Supported by ATB - August 19, 2021",
12606,Reading with Royalty | PRIDE WEEK SPECIAL,
12607,"Virtual Reading with Royalty | Supported by ATB - September 18, 2021",
12608,"Virtual Reading with Royalty | Supported by ATB - September 28, 2021",
12609,"Virtual Reading with Royalty | Supported by ATB - October 6, 2021",
12610,"Virtual Reading with Royalty | Supported by ATB - October 28, 2021",
12611,"Virtual Reading with Royalty | Supported by ATB - October 16, 2021",
8237,VerseFest 2020: Writers Festival Showcase,
8241,VerseFest 2020: Canthius,
10831,Book Launch,
12373,"Reading with Royalty | Supported by ATB - August 31, 2020",
12381,"Reading with Royalty | Supported by ATB - September 5, 2020",
12426,Panel Discussion: Making Comics in a Dangerous Time - EMLF 2021,
12437,"Virtual Reading with Royalty | Supported by ATB - December 5, 2020",
12438,"Virtual Reading with Royalty | Supported by ATB - December 19, 2020",
12439,"Virtual Reading with Royalty | Supported by ATB - January 20, 2021",
12440,"Virtual Reading with Royalty | Supported by ATB - March 4, 2021",
12442,"Virtual Reading with Royalty | Supported by ATB - March 27, 2021",
12445,"Virtual Reading with Royalty | Supported by ATB - April 6, 2021",
12446,"Virtual Reading with Royalty | Supported by ATB - April 16, 2021",
12448,"Virtual Reading with Royalty | Supported by ATB - April 24, 2021",
12450,"Virtual Reading with Royalty | Supported by ATB - May 15, 2021",
12452,"Virtual Reading with Royalty | Supported by ATB - May 26, 2021",
12453,"Virtual Reading with Royalty | Supported by ATB - June 5, 2021",
12493,"Virtual Reading with Royalty | Supported by ATB - June 11, 2021",
12533,"Virtual Reading with Royalty | Supported by ATB - June 19, 2021",
12534,"Reading with Royalty | Supported by ATB - July 12, 2021",
12536,"Virtual Reading with Royalty | Supported by ATB - June 24, 2021",
12537,"Virtual Reading with Royalty | Supported by ATB - July 3, 2021",
12540,"Reading with Royalty | Supported by ATB - July 24, 2021",
12541,"Reading with Royalty | Supported by ATB - July 30, 2021",
12542,"Reading with Royalty | Supported by ATB - August 6, 2021",
12543,"Reading with Royalty | Supported by ATB - August 14, 2021",
12544,"Reading with Royalty | Supported by ATB - August 19, 2021",
12545,Reading with Royalty | PRIDE WEEK SPECIAL,
12547,"Virtual Reading with Royalty | Supported by ATB - September 18, 2021",
12548,"Virtual Reading with Royalty | Supported by ATB - September 28, 2021",
12549,"Virtual Reading with Royalty | Supported by ATB - October 6, 2021",
12550,"Virtual Reading with Royalty | Supported by ATB - October 28, 2021",
12551,"Virtual Reading with Royalty | Supported by ATB - October 16, 2021",
12583,"Reading with Royalty | Supported by ATB - August 31, 2020",
12584,"Reading with Royalty | Supported by ATB - September 5, 2020",
12585,"Virtual Reading with Royalty | Supported by ATB - December 5, 2020",
