SwallowID,is_video_available,hosting_platform
7886,0,Zoom
7913,0,
7914,0,
7918,0,
7923,0,
7931,0,
7937,0,
7939,0,Zoom
7941,0,Zoom
7942,0,Zoom
7943,0,Zoom
7944,0,Zoom
7945,0,Zoom
7955,0,Zoom
7956,0,Zoom
7961,0,Zoom
7962,0,Zoom
7963,0,Zoom
7964,0,Zoom
7965,0,Zoom
7966,0,
7967,0,Zoom
7968,0,Zoom
7970,0,Instagram Live
8151,0,
8152,0,Zoom
8154,0,Zoom
8155,0,
8156,0,
8157,0,
8158,0,
8159,0,
8160,0,
8161,0,
8162,0,
8163,0,
8164,0,
8165,0,
8166,0,
8167,0,
8168,0,
8169,0,
8170,0,
8172,0,Zoom
8175,0,
8176,0,Zoom
8177,0,Zoom
8178,0,Zoom
8179,0,Zoom
8180,0,Zoom
8181,0,
8183,0,Vimeo; Zoom
8184,0,Zoom
8185,0,
8186,0,Zoom
8187,0,
8188,0,Zoom
8189,0,Zoom
8190,0,Zoom
8192,0,Crowdcast
8193,0,
8194,0,
8197,1,Crowdcast
8199,1,Crowdcast
8200,1,Crowdcast
8203,1,Crowdcast
8204,1,Crowdcast
8206,1,Crowdcast
8207,1,Crowdcast
8209,1,Crowdcast
8210,0,Crowdcast
8211,1,Crowdcast
8212,1,Crowdcast
8213,0,Zoom
8215,0,Zoom
8216,0,Zoom
8217,0,Zoom
8219,0,Zoom
8220,0,Zoom
8221,0,Instagram
8222,0,Zoom
8223,0,Zoom
8224,1,YouTube
8225,0,Zoom
8226,0,Zoom
8227,1,Zoom
8228,1,YouTube
8229,0,Zoom
8230,0,Zoom
8231,0,YouTube
8232,0,
8233,1,Zoom
8234,1,
8235,0,
8236,1,
8237,0,
8238,0,
8239,1,
8241,1,
8242,1,
8243,1,
8244,1,
8245,1,
8246,1,
8247,1,
8248,1,
8250,0,YouTube
8252,0,Zoom
8253,0,Zoom
8254,0,Zoom
8255,0,Zoom
8256,0,Zoom
8257,0,Zoom
8258,1,
8259,1,
8260,1,
8261,1,
8262,1,
8263,0,Facebook
8265,0,Facebook
8266,1,Facebook
8267,1,Facebook
8268,0,Facebook
8269,1,Facebook
8270,0,Facebook
8271,1,Facebook
8272,0,Facebook
8273,1,Facebook
8274,0,
8275,0,Crowdcast
8277,0,Zoom
8278,0,Zoom
8279,0,Facebook
8281,0,Instagram
8282,0,
8283,1,Zoom
8284,1,Zoom
8285,1,Zoom
8286,0,Zoom
8287,0,Zoom
8288,0,Zoom
8289,0,Zoom
8290,0,Zoom
8291,0,Zoom
8292,0,Zoom
8293,0,Zoom
8294,0,Zoom
8295,0,Zoom
8296,0,Zoom
8297,0,Zoom
8300,1,
8302,1,Zoom
8303,1,Zoom
8304,1,Zoom
8305,1,Zoom
8306,1,Zoom
8307,1,Zoom
8308,1,Zoom
8309,1,Zoom
8310,1,Zoom
8311,0,Zoom
8312,1,Zoom
8316,1,Zoom
8317,1,Zoom
8319,1,Zoom
8321,1,Zoom
8322,1,Zoom
8323,1,Zoom
8324,0,Zoom
8325,1,Zoom
8326,1,Zoom
8327,1,Zoom
8328,1,
8329,1,Zoom
8330,1,Zoom
8331,1,Zoom
8332,0,Zoom
8333,1,Zoom
8334,0,Zoom
8335,0,Zoom
8336,0,Zoom
8337,0,Zoom
8338,0,Zoom
8339,0,Zoom
8342,0,Zoom
8343,0,Zoom
8344,0,Zoom
8345,0,Zoom
8346,0,Zoom
8347,0,Zoom
8348,0,Zoom
8349,0,Zoom
8350,0,Zoom
8351,0,Zoom
8352,0,Zoom
8353,0,Zoom
8354,0,Zoom
8355,0,Zoom
8356,1,Zoom
8357,1,Zoom
8358,0,Zoom
8359,0,Zoom
8360,0,Zoom
8361,0,
8362,0,
8367,0,Zoom
8368,0,
8369,0,Zoom
8370,0,Zoom
8371,0,Zoom
8372,0,
8374,0,Zoom
8375,0,Zoom
8376,0,
8377,0,Zoom
8380,0,Zoom
8381,0,Zoom
8382,0,Zoom
8383,0,Zoom
8384,0,Zoom
8385,0,Zoom
8386,0,Zoom
8387,0,Zoom
8388,0,Zoom
8389,0,Zoom
8390,0,
8391,0,Zoom
8392,0,Zoom
8393,0,Zoom
8394,0,Zoom
8395,0,Zoom
8397,0,Zoom
8398,0,
8399,0,Zoom
8400,0,Zoom
8401,0,Zoom
8402,0,Zoom
8404,0,Zoom
8405,0,Zoom
8406,0,Zoom
8407,0,Zoom
8409,0,Zoom
8410,0,Zoom
8411,0,Zoom
8412,0,Zoom
8414,0,Zoom
8415,0,Zoom
8416,0,Zoom
8417,0,Zoom
8418,0,Zoom
8419,0,Zoom
8420,0,Zoom
8421,0,Zoom
8422,0,
8423,0,Zoom
8424,0,Zoom
8425,0,Zoom
8426,0,Zoom
8427,0,Zoom
8428,0,Zoom
8429,0,Zoom
8430,0,Facebook
8431,0,Zoom
8432,0,Zoom
8433,0,Zoom
8434,0,Zoom
8435,0,Zoom
8436,0,Zoom
8437,0,Zoom
8438,0,Zoom
8439,0,
8440,0,Zoom
8441,0,Zoom
8442,0,Zoom
8443,0,Zoom
8444,0,Zoom
8445,0,
8446,0,Zoom
8447,0,Zoom
8448,0,Zoom
8449,0,Zoom
8450,0,Zoom
8451,0,Zoom
8452,0,Zoom
8453,0,Zoom
8454,0,Zoom
8455,0,Zoom
8456,0,Zoom
8457,0,Zoom
8458,0,Zoom
8459,0,Zoom
8460,0,Zoom
8461,0,Zoom
8462,0,Zoom
8463,0,Zoom
8464,0,Zoom
8465,0,Zoom
8466,0,Zoom
8467,0,Zoom
8468,0,
8469,0,Zoom
8471,0,Zoom
8472,0,Zoom
8473,0,Zoom
8474,0,Zoom
8475,0,Zoom
8476,0,Zoom
8477,0,
8478,0,Zoom
8479,0,
8480,0,Instagram
8481,0,Instagram
8482,0,Zoom
8483,0,
8484,0,Zoom
8485,0,Zoom
8486,0,
8487,0,Zoom
8488,0,Zoom
8489,0,Zoom
8490,0,Zoom
8491,0,Zoom
8492,0,Zoom
8493,0,
8494,0,
8495,0,
8496,0,Zoom
8497,0,Zoom
8498,0,Zoom
8499,0,Zoom
8500,0,Zoom
8501,0,Zoom
8502,0,Zoom
8503,0,Zoom
8504,0,Zoom
8505,0,Zoom
8506,0,Zoom
8507,0,Zoom
8508,0,Zoom
8509,0,Zoom
8510,0,Zoom
8511,0,Zoom
8512,0,Zoom
8513,0,Zoom
8515,0,Zoom
8516,0,Zoom
8517,0,Zoom
8518,0,Zoom
8519,0,Zoom
8520,0,Zoom
8521,0,Zoom
8522,0,Zoom
8523,0,Zoom
8524,0,Zoom
8525,0,Zoom
8526,0,Zoom
8527,0,Zoom
8528,0,Zoom
8529,0,Zoom
8530,0,Zoom
8531,0,Zoom
8532,0,Zoom
8533,0,Zoom
8534,0,Zoom
8535,0,Zoom
8536,0,Zoom
8537,0,Zoom
8538,0,Zoom
8539,0,Zoom
8540,0,Zoom
8541,0,Zoom
8542,0,Zoom
8543,0,Zoom
8544,0,Zoom
8545,0,Zoom
8550,0,Zoom
8551,0,Zoom
8552,0,Zoom
8553,0,Facebook; YouTube
8554,0,Zoom
8555,0,Zoom
8556,0,Zoom
8557,0,Zoom
8560,0,Zoom
8561,0,Zoom
8562,0,Zoom
8563,0,
8565,0,Zoom
8566,0,Zoom
8567,0,Zoom
8568,0,Zoom
8569,0,Zoom
8570,0,Zoom
8571,0,Crowdcast
8572,0,Crowdcast
8573,0,Crowdcast
8574,0,Crowdcast
8575,0,Crowdcast
8576,0,Crowdcast
8577,0,Crowdcast
8578,0,Crowdcast
8579,0,Crowdcast; YouTube
8580,0,Crowdcast; YouTube
8581,0,Zoom
8582,0,Zoom
8583,0,Zoom
8584,0,Zoom
8585,0,Zoom
8586,0,Zoom
8587,0,Zoom
8588,0,Instagram
8589,0,Zoom
8590,0,Zoom
8591,0,Crowdcast; YouTube
8592,0,Zoom
8593,0,Instagram
8594,0,Crowdcast; YouTube
8595,0,Zoom
8596,0,Zoom
8597,0,
8598,0,Crowdcast; YouTube
8599,0,Crowdcast; YouTube
8600,0,Instagram
8601,0,Crowdcast; YouTube
8602,0,YouTube
8603,0,Zoom
8604,0,Crowdcast; YouTube
8605,0,Crowdcast; YouTube
8606,0,Zoom
8607,0,Zoom
8608,0,Zoom
8609,0,Zoom
8610,0,Instagram
8611,0,Zoom
8612,0,YouTube
8613,0,Instagram
8614,0,
8615,0,
8616,0,
8619,0,
8620,0,
8621,0,
8622,0,
8623,0,
8624,0,
8625,0,
8626,0,
8627,0,
8628,0,Zoom
8629,0,
8630,0,Zoom
8631,0,
8632,0,
8640,0,
8641,0,
8642,0,
8643,0,
8644,0,
8645,0,
8646,0,
8647,0,
8648,0,
8649,0,
8650,0,
8651,0,
8652,0,
8653,0,
8654,0,
8655,0,
8656,0,
8662,0,
8663,0,
8664,0,
8665,0,
8666,0,
8667,0,
8668,0,
8669,0,
8670,0,
8671,0,
8672,0,
8673,0,
8674,0,
8675,0,
8676,0,
8677,0,
8678,0,
8679,0,
8680,0,
8681,0,
8696,0,
8697,0,
8698,0,
8699,0,
8700,0,
8701,0,
8710,0,
8711,0,
8713,0,
8714,0,
8715,0,
8716,0,
8719,0,Zoom
8720,0,
8721,0,
8722,0,
8723,0,
8724,0,
8725,0,Zoom
8726,0,
8727,0,Zoom
8728,0,Zoom
8729,0,
8730,0,Zoom
8731,0,Zoom
8732,1,Facebook; YouTube
8733,0,
8734,0,
8735,0,
8736,0,
8737,0,
8738,0,
8739,0,
8740,0,
8741,0,
8743,0,
8744,0,
8745,0,
8746,0,
8747,0,
8748,0,
8749,0,
8750,0,
8751,0,
8752,0,
8753,0,
8754,0,
8755,0,
8756,0,
8757,0,
8758,0,
8759,0,
8760,0,Instagram
8761,0,
8763,0,
8764,0,
8765,0,
8766,0,
8767,0,
8772,0,
8773,0,
8774,0,
8775,0,
8776,0,
8777,0,
8778,0,
8779,0,
8780,0,
8781,1,
8782,0,
8783,0,
8784,0,
8785,0,
8786,0,
