Creator,SwallowIDs,URLs
A.G.,13575,
AJ,13575; 13884,
"Abadie, Delphine",13948,http://viaf.org/viaf/79244014
"Abalos, Byron",8961,http://viaf.org/viaf/18162060340451401226
"Abbas, Sara",12347,http://viaf.org/viaf/1141161634370310850001
"Abdellatif, Yasser",9479,
"Abdelmahmoud, Elamin",10325; 12497; 8556,http://viaf.org/viaf/47163994563601831793
"Abdi, Nur",10298,http://viaf.org/viaf/11156674991733581898
"Abdou, Angie",11260; 11365; 11545; 12552; 12612; 9931,"http://viaf.org/viaf/71156283; https://viaf.org/viaf/71156283/#Abdou,_Angie,_1969-...."
"Abdulhamid, Waleed",8984,
"Abdullah, Silmy",10173; 9451,http://viaf.org/viaf/46161209146639862024
"Abel, Jordan",10329; 10864; 10930; 11121; 11502; 12330; 7923; 8603; 9479; 9861,"http://viaf.org/viaf/305192706; http://viaf.org/viaf/4534151535373902890005; https://viaf.org/viaf/305192706/#Abel,_Jordan,_1985-"
"Aber, Aria",8517; 8807,http://viaf.org/viaf/8155343956906312369
"Abes, Trevor",13890,http://viaf.org/viaf/107378185
"Abley, Mark",8345,http://viaf.org/viaf/94007987
"Abma, Sandra",9148,
"Abraham, George",9498,https://www.wikidata.org/w/index.php?title=Q94694347&oldid=1539493857
"Abray, Tom",8168, http://viaf.org/viaf/48957111
"Ace, Cathy",11898,http://viaf.org/viaf/187117578
"Acevedo, Elizabeth",8609,http://viaf.org/viaf/171248596
"Acharya, Pushpa",11461,"https://viaf.org/viaf/302503527/#Acharya,_Pushpa_Raj_(Poet)"
"Acheson, Alison",8662; 9279,http://viaf.org/viaf/267167109
"Ackerman, Marianne",10043; 12888; 13957; 9976,http://viaf.org/viaf/44184777
"Actis, Andrea",10050; 10290; 10967; 11124," http://viaf.org/viaf/30160789816702682302; http://viaf.org/viaf/30160789816702682302; https://viaf.org/viaf/30160789816702682302/#Actis,_Andrea,_1984-"
Ada,12525,
"Adams, Adrienne",9040; 9067; 9081,
"Adams, Carrie Olivia",12102,http://viaf.org/viaf/58878947
"Adams, Christopher",12298; 12349,http://viaf.org/viaf/484166717384527150003
"Adams, Jerome",10072,http://viaf.org/viaf/61679572
"Adamson, Gil",13403; 8844,http://viaf.org/viaf/32731774
"Adbel-Samad,  Reem Fayyad",10386,
"Addario, Frank",9813,http://viaf.org/viaf/106687316
"Adderson, Caroline",10903; 11218; 11223; 11256; 8630,"http://viaf.org/viaf/22028511; http://viaf.org/viaf/5535161211922340070004; https://viaf.org/viaf/5535161211922340070004/#Adderson,_Caroline,_1963-"
"Ade-Lam, Sze-Yang",11664,
"Adedipe, Adetola",9040; 9067; 9081,
"Adedipe, Tola",13714,
"Adeleye, Yemisi",11537,
"Adjei, Randell",11573; 11947; 8829,
"Adler, Nathan",11759; 12269; 13617; 13632; 9024,http://viaf.org/viaf/298746901; http://viaf.org/viaf/5240153716416958820003
"Adlington, Lucy",9660,"https://viaf.org/viaf/232975379/#Adlington,_Lucy_J.,_1970-"
"Adolph, Valerie",13501,http://viaf.org/viaf/20990419
"Afary, Frieday",12347,
"Afework, Bethel",9081,
"Afolabi, Taiwo Okunola",10899,http://viaf.org/viaf/200147662969260551227
Afuwa,9829,
"Agger, Helen Olsen",12405,http://viaf.org/viaf/78897126
"Agnant, Marie-Célie",13926,http://viaf.org/viaf/17470529
"Agnew, Marion",8880,http://viaf.org/viaf/27156856370249602014
"Agostinelli, Gianluca",11781,
"Aguirre, Ana Ruiz",13322,
"Aguirre, Carmen",9365,http://viaf.org/viaf/55956182
"Ah-Sen, Jean Marc",10477; 12100; 12667; 9278,"http://viaf.org/viaf/317096166; https://viaf.org/viaf/317096166/#Ah-Sen,_Jean_Marc,_1987-"
"Ah-Sen, Kevin",10411,
"Ahenakew, Austin",10983; 12782,
"Ahenda, Leslie Joy",10233; 13655; 8224; 9004; 9034,
"Ahlers, Sonja",10259; 12059,http://viaf.org/viaf/106102779
"Ahmad, Aidsha",12571,
"Ahmad, Layla",10477,"https://viaf.org/viaf/12160059961635600227/#Ahmad,_Layla,_1992-"
"Ahuja, Anjana",13378,http://viaf.org/viaf/120416516
"Aidid, Shadiya",11992,
"Aiello, K.J.",8803,
"Aigen, Razielle",12093; 9089,http://viaf.org/viaf/34161935335739670089
"Ainsley, Paul",12667,
"Aitken, Neil",12782; 12959; 12977,http://viaf.org/viaf/106725816; http://viaf.org/viaf/83541090
"Ajao, Pelumi",13289,
"Ajmeri, Shaukat",10688; 10691; 8833,http://viaf.org/viaf/6157825187054061764
"Akbar, Kaveh",9567,http://viaf.org/viaf/128149842015102842768
"Akhtar, Ayad",12928; 8741,http://viaf.org/viaf/19124904
"Akintade, Peace",10808; 10866; 10982; 10986; 12720; 12957; 12960; 12971; 12977; 13313; 13697; 13705; 13802; 8724,
"Akiwenzie-Damm, Kateri",10970; 12761,http://viaf.org/viaf/117652203
"Akunyili-Parr, Chidiogo",10163; 13381,http://viaf.org/viaf/1216278119636598035; http://viaf.org/viaf/12162781196365980355
"Al Ethari, Lamees",11953,http://viaf.org/viaf/18156675108333581113
"Al Kontar, Hassan",11260,"https://viaf.org/viaf/17161573639504522383/#Al_Kontar,_Hassan,_1981-"
"Al Soua, Wafaa",12980,
"Al-Dandashi, Jassim",13605,
"Al-Salman, Yassin",8355,
"Al-Sameraie, Arwa",13605,
"Al-Solaylee, Kamal",10128; 10163; 10185; 11953; 12517; 12728; 13019; 9451,http://viaf.org/viaf/226109164
"Aladejebi, Funké",11971,"https://viaf.org/viaf/8160422846668030881/#Aladejebi,_Funk%C3%A9,_1983-"
"Alam, Tina Zafreen",8157,
"Alang, Navneet",10477; 10527,
"Alanis, Salvador",12686; 12709; 12740; 12923,
"Alapi, Zsolt",11783; 8288,http://viaf.org/viaf/58810573
"Alary, Laura",10477; 9340,"http://viaf.org/viaf/120416571; https://viaf.org/viaf/120416571/#Alary,_Laura"
"Albanese, Eleanor",9270; 9285,http://viaf.org/viaf/106047690
"Albano-Crockford, Julia",13807,
"Albert, Charles",10289,
"Albert, Jen",10296,
"Albert, Jenna Lyn",12678,http://viaf.org/viaf/21152380011401760596
"Albert, Liv",10592,http://viaf.org/viaf/24161693977015932500
"Albertalli, Becky",9612,"https://viaf.org/viaf/309821961/#Albertalli,_Becky."
"Alderson, Scott",10110,http://viaf.org/viaf/106027450
"Alduwaisan, Rasha",13573,
"Aleck, Echo",13844,
"Aleman, Daniel",8461,
"Alexander, David",8231,http://viaf.org/viaf/8150565683106252769
