source,target,type
"event::Argo Zoom Reading: Verse, Prose & Song","creator::Ferrier, Ian",undirected
event::Tree September Reading with Brandon Wint & Titilope Sonuga,"creator::Wint, Brandon",undirected
event::Tree Reading Series ft. Joy Priest & Tina Zafreen Alam,"creator::Wint, Brandon",undirected
"event::Tree Reading Series ft. Jody Chan & Eunice Andrada
","creator::Wint, Brandon",undirected
event::Tree Reading Series Ft. Nisha Patel & Naima Yael Tokunow,"creator::Patel, Nisha",undirected
event::Tree Reading Series Ft. Nisha Patel & Naima Yael Tokunow,"creator::Wint, Brandon",undirected
event::Tree Reading Series ft. Terese Mason Pierre & Tatiana Johnson-Boria,"creator::Wint, Brandon",undirected
event::Tree Reading Series ft. Sanna Wani & Em Dial,"creator::Wint, Brandon",undirected
event::Tree Reading Series ft. Inam Kang & Taylor Byas,"creator::Wint, Brandon",undirected
event::Tree Reading Series: Natasha Ramoutar & Marianne Chan,"creator::Wint, Brandon",undirected
event::Words & Music Online this Sunday,"creator::Ferrier, Ian",undirected
event::Words & Music Online this Sunday,"creator::Camlot, Jason",undirected
event::Words & Music Online for the C(r)oolest Month,"creator::Ferrier, Ian",undirected
event::Words & Music Online for the C(r)oolest Month,"creator::Camlot, Jason",undirected
event::Say Play and Dance at Words & Music Online,"creator::Camlot, Jason",undirected
event::Say Play and Dance at Words & Music Online,"creator::Ferrier, Ian",undirected
event::Words & Music Solstice Show Sunday online,"creator::Camlot, Jason",undirected
event::Words & Music Solstice Show Sunday online,"creator::Ferrier, Ian",undirected
"event::Silvervest, Barillaro, Paré and Mash at W&M Show Sunday","creator::Camlot, Jason",undirected
"event::Silvervest, Barillaro, Paré and Mash at W&M Show Sunday","creator::Ferrier, Ian",undirected
event::Summer in September at W&M Sunday,"creator::Camlot, Jason",undirected
event::Summer in September at W&M Sunday,"creator::Ferrier, Ian",undirected
"event::Souaid, Scott, Sweet, Anderson and Video Winners Sunday","creator::Ferrier, Ian",undirected
"event::Souaid, Scott, Sweet, Anderson and Video Winners Sunday","creator::Camlot, Jason",undirected
event::Black Writers Out Loud Sunday,"creator::Camlot, Jason",undirected
event::Black Writers Out Loud Sunday,"creator::Ferrier, Ian",undirected
event::International Poets and Performers Sunday,"creator::Camlot, Jason",undirected
event::International Poets and Performers Sunday,"creator::Ferrier, Ian",undirected
event::Black Writers/Black History,"creator::Ferrier, Ian",undirected
event::Black Writers/Black History,"creator::Camlot, Jason",undirected
"event::Argo Zoom Reading Series: Verse, Prose & Song","creator::Ferrier, Ian",undirected
event::The Light Returns March 21st,"creator::Camlot, Jason",undirected
event::The Light Returns March 21st,"creator::Ferrier, Ian",undirected
"event::Poets, Music, Video and Art on Sunday","creator::Ferrier, Ian",undirected
"event::Poets, Music, Video and Art on Sunday","creator::Ferrier, Ian",undirected
"event::Poets, Music, Video and Art on Sunday","creator::Camlot, Jason",undirected
event::SpokenWeb Words & Music,"creator::Camlot, Jason",undirected
event::SpokenWeb Words & Music,"creator::Ferrier, Ian",undirected
event::VerseFest 2020: Urban Legends,"creator::Wint, Brandon",undirected
"event::Argo Zoom Reading Series: Verse, Prose & Song","creator::Ferrier, Ian",undirected
event::Reimagining Disability,"creator::Wint, Brandon",undirected
"event::Richard Van Camp: ""The Power of Stories and The Medicine They Carry""","creator::Van Camp, Richard",undirected
"event::Jillian Horton: ""We Are All Perfectly Fine""","creator::Camlot, Jason",undirected
"event::Jillian Horton: ""We Are All Perfectly Fine""","creator::Ferrier, Ian",undirected
