city,homelat,homelon,homecontinent,state,n
Montréal,45.49253,-73.58068,Canada,Québec,192
Ottawa,45.4211060,-75.6903080,Canada,Ontario,37
Toronto,43.666170,-79.400360,Canada,Ontario,263
Vancouver,49.269860,-123.134220,Canada,British Columbia,60
Westmount, 45.488682,-73.584259,Canada,Québec,29
Windsor,42.325140,-82.943060,Canada,Ontario,9
Calgary,51.04457,-114.069241,Canada,Alberta,6
Moncton,46.088630,-64.778500,Canada,New Brunswick / Nouveau-Brunswick,10
Victoria,48.425930,-123.364320,Canada,British Columbia,56
Halifax,44.646020,-63.573690,Canada,Nova Scotia,1
Area F (Alberni Highway),49.332280,-124.493850,Canada,British Columbia,17
Kingston,44.22146,-76.51031,Canada,Ontario,7
Thunder Bay,48.37159,-89.27975,Canada,Ontario,30
St-Eustache,45.5573,-73.8954,Canada,Québec,10
Regina,50.4558491,-104.6244141,Canada,Saskatchewan,9
